"",Season,Episode,Character,Line,Segment,WC,WPS,BigWords,Dic,IVED
12807,13,11,Cartman,"Dude, you know what? Japanese people really do not like whales.  Uh oh.",1,13,4.33,7.69,0,0
12808,13,11,Cartman,"Well I'm in Japanese prison Lawd
Japanese prison got me down
Said I'm in Japanese prison Lawd
Don't belong here, my eyes are round.",1,24,24,12.5,0,0
12809,13,11,Stan,Will you stop that?,1,4,4,0,0,0
12810,13,11,Cartman,"Oh, I'm sorry. Am I making things uncomfortable for you Stan? It's your fault me and Kenny are in this mess!",1,21,7,4.76,0,0
12811,13,11,Stan,"Things are bad enough without you being a smartass! There's whales out there being slaughtered right now and I can't do anything about it, so just keep quiet!",1,28,14,14.29,0,0
12812,13,11,Cartman,"You don't have a TV show anymore, Captain, so you can just suck my Japanese-imprisoned balls! 
I'm in a Japanese prison Lawd. 
Japanese balls got me down.",1,27,9,18.52,0,0
12813,13,11,Guard,Itte kure 'Akihito-sama irashaimasu!',1,4,4,50,0,0
12814,13,11,Emperor Akihito,"So, you are the ones who have been-a sinking our boats!",1,11,11,9.09,0,0
12815,13,11,Stan,You speak English.,1,3,3,33.33,0,0
12816,13,11,Emperor Akihito,"You have caused us many problems, set us back many months!",1,11,11,9.09,0,0
12817,13,11,Cartman,"Sir, we actually don't give two shits about you killing whales. Can we go?",1,14,7,14.29,7.14,7.14
12818,13,11,Kenny,"(Yeah, can we go?)",1,4,4,0,0,0
12819,13,11,Emperor Akihito,Why have you done this? Why do you insist on-a making trouble for the Japanese?!,1,15,7.5,13.33,0,0
12820,13,11,Stan,Why do you do what you do?! Do you know that ninety eight percent of the world is against whaling?! Why can't you just stop?!,1,25,8.33,12,0,0
12821,13,11,Emperor Akihito,You think you have the right to tell us what is okay?! I have-a something to show you!,1,18,9,5.56,0,0
12822,13,11,Emperor Akihito,This is Hiroshima. Over fifty years ago this entire city was-a destroyed by nuclear bomb. We built this museum so that we never forget what-a happened.,1,26,8.67,15.38,7.69,7.69
12823,13,11,Cartman,What dude?,1,2,2,0,0,0
12824,13,11,Emperor Akihito,"At-a 8:15 a.m. the people of Hiroshima were just minding their own business when out of nowhere a frash devastated them all.  Women and children who died in the frash simply evaporated.  Those reft arrive suffered the worst pain of all. Burns, radiation poisoning. For generations the radiation affected the victims. Japanese babies born without rimbs. Without eyes!",1,60,7.5,28.33,0,0
12825,13,11,Cartman,Sorry.  A little gassy. 'Scuse me.,1,6,2,0,0,0
12826,13,11,Emperor Akihito,"One hundred and forty thousand Japanese were killed by atom bomb. We have never recovered from the memory of that day. It is impossible for a nation to ever forgive an act so horrible. This-a picture shows the prane that dropped the bomb.  It was called the Enora Gay. And it was frown by the monsters who dropped the bomb that day. Dohfin, and Weiru!",1,65,9.29,16.92,6.15,6.15
12827,13,11,Stan,"Ummm, where did you get that picture?",1,7,7,14.29,0,0
12828,13,11,Emperor Akihito,"The Americans were nice enough to give it to us the day after the bombing. We were so-a thankful for the picture that the next day we ended our war with America. We will never forgive, never rest until they are all wiped out! Fuck you. Fuck you dohfin and-a weiru!",1,51,10.2,11.76,0,0
12829,13,11,Cartman,So that's what this has all been about?,1,8,8,0,0,0
12830,13,11,Stan,"Dude, it wasn't actually and dolfin and a whale who bombe Hiroshima. It was the-",1,15,7.5,13.33,6.67,6.67
12831,13,11,Cartman,"Zzzzt zzzzsssht!  Dude, they won't rest until whoever is responsible is completely wiped out.",1,14,7,28.57,0,0
12832,13,11,Stan,"Oh, right. Look, I... I thnk I can make everything okay here. Can I just use a phone?",1,18,4.5,5.56,0,0
12833,13,11,Kyle,Hello? Stan?,1,2,1,0,0,0
12834,13,11,Stan,"Dude, are you sitting at your computer? I need you to do something for me.",1,15,7.5,20,0,0
12835,13,11,Stan,"Mister Prime Minister, Japanese officials, there's something you need to know. The photo you were given of the Enola Gay was doctored. Because the real bombers feared retaliation so badly that they... simply pointed the finger at somebody else. My government has authorized me to give you the original photo, unaltered, so you can finally know the truth.  Dolphins and whales were just framed by the real bombers.  A chicken and a cow.",1,73,10.43,24.66,0,0
12836,13,11,Emperor Akihito,Chicken and-a cow? Chicken and-a cow?!,1,6,3,33.33,0,0
12837,13,11,Hatoyama,Chicken and cow use poor dohfin and weiru as-a scapegoat?! This is outrage!,1,13,6.5,23.08,0,0
12838,13,11,The Japanese,Fuck you cows!,1,3,3,0,0,0
12839,13,11,The Japanese,Teikara chickens!,1,2,2,100,0,0
12840,13,11,Randy,"Great job, son. Now the Japanese are normal, like us.",1,10,5,10,0,0
12841,13,12,Cartman,"Isn't this great, you guys? Gettin' away from it all, leaving all our cares behind?",1,15,7.5,6.67,0,0
12842,13,12,Stan,"Yeah, and they said the weather's gonna be nice like this all day.",1,13,13,7.69,0,0
12843,13,12,Kyle,This... is exactly what I needed.,1,6,3,16.67,0,0
12844,13,12,Kenny,(Meee toooo.),1,2,2,0,0,0
12845,13,12,Stan,Aww! Not those guys again!,1,5,2.5,0,0,0
12846,13,12,Cartman,"God damn it, why is it every time we try to have a relaxing day a bunch of asshole on their Harley motorcycles show up?!",1,25,25,12,0,0
12847,13,12,Stan,God! Shut up!,1,3,1.5,0,0,0
12848,13,12,Cartman,"Piss off, you stupid assholes!",1,5,5,20,0,0
12849,13,12,Randy,Isn't this great food?,1,4,4,0,0,0
12850,13,12,Gerald,You're so right about this place. It's wonderful.,1,8,4,12.5,0,0
12851,13,12,Randy,"You know what's really interesting is that-  ...what's really interesting is that this place has a new owner, and that-",1,20,20,10,0,0
12852,13,12,Father Maxi,On this gorgeous day we bring these two together for the most important ta-,1,14,14,21.43,0,0
12853,13,12,Lead Biker,Everybody's checking us out.,1,4,4,50,0,0
12854,13,12,Biker 2,"Yeah, they think we're pretty cool.",1,6,6,0,0,0
12855,13,12,Lead Biker,Hooo! We were definitely turnin' some heads out there.,1,9,4.5,11.11,0,0
12856,13,12,Biker 3,Yeah!,1,1,1,0,0,0
12857,13,12,Biker 2,"I was pullin' back on that throttle, and everybody was like, ""What is that?""",1,14,14,14.29,0,0
12858,13,12,Biker 4,Fer sure!,1,2,2,0,0,0
12859,13,12,Biker 3,Yeah.,1,1,1,0,0,0
12860,13,12,Biker 5,"Hey- hey, nobody here is really paying attention to us.",1,10,10,10,0,0
12861,13,12,Lead Biker,"That's weird.  Oh yeah, that's better.",1,6,3,0,0,0
12862,13,12,Lead Biker,All right let's head out.,1,5,5,0,0,0
12863,13,12,Cartman,"Excuse me. Excuse me! Hey assholes!  You guys know that everyone thinks you're total fags, right.",1,16,4,12.5,0,0
12864,13,12,Lead Biker,...What did you say?,1,4,4,0,0,0
12865,13,12,Cartman,"You know, when people like you drive down the street with your unnecessarily loud motorcycles thinking you're all cool. Everyone is actually laughing at you and calling you pathetic faggots. You do realize this, right?",1,35,11.67,28.57,0,0
12866,13,12,Biker 6,"...Hey man, we roll how we roll, and if people are annoyed or intimidated by it, that's too bad for them!",1,21,21,9.52,0,0
12867,13,12,Biker 2,Yeah!,1,1,1,0,0,0
12868,13,12,Cartman,"No no, no, nobody is intimidated, actually. Everyone realizes that people who are so needy for attention they need to dress up and be as loud as possible are you guys and sixteen-year-old girls! Just wanted to let you know, you're fuckin' fags.",1,43,14.33,16.28,0,0
12869,13,12,Biker 7,Thah- that little boy just called us fags.,1,8,8,0,0,0
12870,13,12,Biker 2,Like he didn't think we were cool.,1,7,7,0,0,0
12871,13,12,Biker 6,"But he's wrong. People don't think we're fags, do they?",1,10,5,0,0,0
12872,13,12,Lead Biker,"'Course he's wrong! And anyway, nobody except that little freak would ever say something like it to our faces!",1,19,9.5,5.26,0,0
12873,13,12,Other Bikers,Yeah! Let's ride!  Let's go! Rev 'em up!,1,8,2,0,0,0
12874,13,12,Ike,Fags!,1,1,1,0,0,0
12875,13,12,Biker 2,Did that kid just call us-?,1,6,6,0,0,0
12876,13,12,Lead Biker,"Ju-just ignore him!  God damn it, this is fucked up!",1,10,5,0,0,0
12877,13,12,Biker 8,What's wrong with kids today?,1,5,5,0,0,0
12878,13,12,Biker 4,It doesn't make any sense. They all called us fags.,1,10,5,0,0,0
12879,13,12,Biker 6,"How can they call us fags? I mean, listen to this?",1,11,5.5,0,0,0
12880,13,12,Lead Biker,"I know, I know! Look, guys, I think I know what the problem is here.",1,15,7.5,6.67,0,0
12881,13,12,Biker 3,Really? You do?,1,3,1.5,0,0,0
12882,13,12,Biker 9,Whatwhat?,1,1,1,100,0,0
12883,13,12,Lead Biker,"Yeah, think about it, guys. You see all the things kids have today? I mean, with their Xboxes and surround-sound entertainment systems, kids today are surrounded by big loud stuff all the time!",1,33,11,12.12,0,0
12884,13,12,Biker 10,"Hey, that's right.",1,3,3,0,0,0
12885,13,12,Lead Biker,"That's all it is, guys. We just need to get a little louder, that's all.",1,15,7.5,0,0,0
12886,13,12,Kyle,Broflovski looks for Kenny to get clear for the pass.,1,10,10,10,0,0
12887,13,12,Cartman,But Cartman isn't letting up on him.,1,7,7,28.57,0,0
12888,13,12,Kyle,"Oh, what the hell?!",1,4,4,0,0,0
12889,13,12,Biker 6,Chicken spears! Chicken spears! Chicken spears! ...Chicken spears! Chicken spears!,1,10,2,50,0,0
12890,13,12,Stan,God damn it God damn it!,1,6,6,0,0,0
12891,13,12,Lead Biker,"Oh yeah, now we're turnin' some heads!",1,7,7,0,0,0
12892,13,12,Biker 2,Let's see 'em call us fags now!,1,7,7,0,0,0
12893,13,12,Stan,"All right, thanks for coming, everyone. As you all know, the Harley problem seems to be getting worse, and nobody is willing to do anything about it.",1,27,13.5,18.52,0,0
12894,13,12,Kyle,Yes.,1,1,1,0,0,0
12895,13,12,Cartman,Agreed.,1,1,1,0,0,0
12896,13,12,Jimmy,"I have had it with those loud, annoying, f-f-f f-faggots.",1,10,10,20,0,0
12897,13,12,Stan,"Now, we have some ideas, and we'd love to hear your ideas, and I think together we can-  ...and I think that together we can come up with a way to get rid of these fags once and for all.",1,40,40,5,0,0
12898,13,12,Kyle,Sounds good.,1,2,2,0,0,0
12899,13,12,Token,"Okay good, yeah.",1,3,3,0,0,0
12900,13,12,Cartman,"Ni-nice, okay.",1,2,2,0,0,0
12901,13,12,Butters,What are you guys talkin' about? Harleys are neato!,1,9,4.5,11.11,0,0
12902,13,12,Cartman,What?,1,1,1,0,0,0
12903,13,12,Butters,"I always thought, someday when I grow up I'm gonna get a Harley. Then people will have to notice me, and they'll have to deal with my shit for once. The open road! The wind on my face! I'll go from city to city! Rowrrowrroowwrr! Everyone lookin' at me! ""Who's that guy? He must be a Hoo- he must be tough!"" Vromvrom, vromvrom, vrooom! I'll have my girl on the back seat holdin' on to my fat belly - sure she's missin' a few teeth, but she thinks I'm coool. That's why, when I grow up, I'm gonna be a Harley rider!",1,101,8.42,5.94,0,0
12904,13,12,Stan,"...That makes perfect sense, Butters.",1,5,5,40,0,0
12905,13,12,Butters,It does?,1,2,2,0,0,0
12906,13,12,Stan,"Yes, now get out of here.",1,6,6,0,0,0
12907,13,12,Butters,Okay.,1,1,1,0,0,0
12908,13,12,Stan,"Alright, Kyle and I are gonna spray paint messages to the Harley riders; Cartman, you said you had an idea?",1,20,20,15,0,0
12909,13,12,Cartman,"I think what I'm gonna do is uh, find out wherever their bikes are and uh, crap on their seats.",1,20,20,5,0,0
12910,13,12,Stan,Oh that's good.,1,3,3,0,0,0
12911,13,12,Cartman,"Yeah, I think that'll be nice.",1,6,6,0,0,0
12912,13,12,Stan,But that's a lot of seats? How are you going to pull that off?,1,14,7,0,0,0
12913,13,12,Cartman,"I think I just need uh two, maybe three buckets of KFC, extra crispy, probably ...four cartons of gravy.",1,19,19,15.79,0,0
12914,13,12,Stan,"Clyde, can you take care of getting KFC for Cartman? Kyle and I will get the spray paint cans. If we do this right, we'll be doing the town a huge favor, so let's get to it!",1,37,12.33,5.41,0,0
12915,13,12,All,Yeah!,1,1,1,0,0,0
12916,13,12,Lead Biker,Now that was a good breakfast.,1,6,6,16.67,0,0
12917,13,12,Biker 6,I'm full.,1,2,2,0,0,0
12918,13,12,Lead Biker,You guys smell that? Smells like that new famous bowl at KFC,1,12,6,0,0,0
12919,13,12,Biker 6,"Ohh, OHHH! Somebody took a shit on mah fuckin' Harley!",1,10,5,10,0,0
12920,13,12,Biker 3,What?,1,1,1,0,0,0
12921,13,12,Biker 2,"Awwww, me too! I got shit all over my pants now!",1,11,5.5,0,0,0
12922,13,12,Biker 7,There's a little flag stuck in the shit!,1,8,8,0,0,0
12923,13,12,Biker 11,"""You're fags."" You've gotta be kidding me!",1,7,3.5,14.29,0,0
12924,13,12,Lead Biker,"Come on, we'll find the bastards who did this!",1,9,9,11.11,0,0
12925,13,12,Biker 12,This can't be happening.,1,4,4,25,0,0
12926,13,12,Stan,"Really nice work, guys.",1,4,4,0,0,0
12927,13,12,Kyle,Yeah. I think maybe everything is gonna be okay now.,1,10,5,10,0,0
12928,13,12,Big Gay Al,"And so I said to the guy, ""you really think I'm paying that much?""",1,14,14,0,0,0
12929,13,12,Mr. Slave,"Heheh, oh Jesus Christ.",1,4,4,0,0,0
12930,13,12,Big Gay Al,Oh my God. I thought we were past this.,1,9,4.5,11.11,0,0
12931,13,12,Mayor McDaniels,"Students, I am here because of a very serious matter. This morning it was discovered that in several places all over town, somebody had spray-painted the words, ""Fags get out."" Many witnesses reported seeing children with spray paint. Now, if anybody knows anything about the kids who did this, you must come forward-",1,53,13.25,26.42,0,0
12932,13,12,Cartman,That was us!,1,3,3,0,0,0
12933,13,12,Mayor McDaniels,...'Scuse me?,1,2,2,0,0,0
12934,13,12,Stan,"Yeah, we did that!",1,4,4,0,0,0
12935,13,12,"Kyle, Kenny",Yeah!,1,1,1,0,0,0
12936,13,12,Mayor McDaniels,...Why would you write something like that and be proud of it?!,1,12,12,8.33,0,0
12937,13,12,Kyle,"W-well, 'cause we want all of those fags to get out of town.",1,13,13,0,0,0
12938,13,12,Cartman,"Yeah, everyone hates those fags, right?",1,6,6,16.67,0,0
