Season,Episode,Time_Stamp,Dialogue,NRC_Sentiment,AFINN_Sentiment,AFINN_Sentiment_Score,BING_Sentiment,Segment,HighControversial,MediumControversial,LowControversial
1,1,00:05:05,Drank at the stag...,Neutral,Neutral,0,Neutral,1,0,0,0
1,1,00:05:08,I almost walked right into that one. God!,"anticipation,fear,joy,positive,trust",Positive,1,Positive,1,0,0,0
1,1,00:05:11,Feels like accountants are cranking adding machines in my head.,Neutral,Positive,2,Positive,1,0,0,0
1,1,00:05:18,"Dick, you ever wonder what's outside those walls?",Neutral,Negative,-4,Negative,1,0,0,0
1,1,00:05:21,"That's dangerous thinking, Paul. You best stick to your work.","fear,negative",Positive,3,Negative,1,0,0,10
1,1,00:05:24,Okay.,Neutral,Neutral,0,Neutral,1,0,0,0
1,1,00:05:26,You see? A hangover is nature's way of telling you I was right. I mean...,Neutral,Neutral,0,Positive,1,0,0,0
1,1,00:05:30,"Mom, are you all right?",Neutral,Neutral,0,Positive,1,0,0,0
1,1,00:05:32,My goodness. This chair leg was loose. Isn't that silly?,"anticipation,joy,negative,positive,surprise,trust",Negative,-1,Positive,1,0,0,0
1,1,00:05:36,I could've broken my neck.,"anger,fear,negative,sadness",Negative,-1,Negative,1,0,0,0
1,1,00:05:38,Damn!,"anger,disgust,negative",Negative,-1,Negative,1,0,0,0
1,1,00:05:43,"Honey. I took a cab home, I slept on the table so I wouldn't wake you up. Nothing bad happened.","anger,disgust,fear,negative,positive,sadness",Negative,-3,Negative,1,0,0,0
1,1,00:05:46,I guess you're right.,surprise,Neutral,0,Positive,1,0,0,0
1,1,00:05:48,"Apology accepted. All right, I'm going to work.",positive,Neutral,0,Positive,1,0,0,0
1,1,00:05:51,Somebody's gotta put food on this table.,"joy,positive,trust",Neutral,0,Neutral,1,0,0,14.29
1,1,00:05:56,"How are you coming, Johnson?",anticipation,Neutral,0,Neutral,1,0,0,20
1,1,00:05:57,"Mr. Weed, I've been working on the new G.I. Jew line.",positive,Neutral,0,Negative,1,0,0,8.33
1,1,00:06:00,"And as you can see, they look great.",Neutral,Positive,3,Positive,1,0,0,0
1,1,00:06:02,You call these bagels?,Neutral,Neutral,0,Neutral,1,0,0,25
1,1,00:06:03,I'm glad he's on our side!,"anticipation,joy,positive",Positive,3,Positive,1,0,0,0
1,1,00:06:08,Peter! What?,Neutral,Neutral,0,Neutral,1,0,0,0
1,1,00:06:09,Are you sleeping on the job?,positive,Neutral,0,Neutral,1,16.67,0,0
1,1,00:06:10,No. There's a bug in my eye and I'm trying to suffocate him.,"disgust,fear,negative",Negative,-1,Negative,1,0,0,0
1,1,00:06:14,"Peter, I like you. But I need you to be more than just eye candy around here.",Neutral,Positive,2,Positive,1,0,0,0
1,1,00:06:18,It's your job to watch for toys that could be hazardous to kids.,"anticipation,fear,negative,positive",Neutral,0,Negative,1,7.69,0,7.69
1,1,00:06:21,"Now, look sharp!",Neutral,Neutral,0,Positive,1,0,0,0
1,1,00:06:21,"Yes, sir!","positive,trust",Positive,5,Neutral,1,0,0,0
1,1,00:06:35,"And now back to Action News 5. Our top story tonight, When Toys Attack.","anger,anticipation,fear,negative,positive,trust",Positive,1,Positive,1,14.29,0,7.14
1,1,00:06:40,"Quite a situation we've got here, Tom.",Neutral,Neutral,0,Neutral,1,0,0,0
1,1,00:06:41,"Quite a situation we've got here, Tom, indeed, Diane.",Neutral,Neutral,0,Neutral,1,0,0,0
1,1,00:06:47,"The Happy-Go-Lucky Toy Company of Quahog, Rhode Island has released highly unsafe products into the retail market.","fear,negative",Positive,6,Positive,1,0,0,5.88
1,1,00:06:50,"Come on, Timmy! Throw the Silly Ball!","joy,negative",Negative,-1,Negative,1,0,0,14.29
1,1,00:06:54,Boy! A Pound Poochie!,"anger,negative",Neutral,0,Neutral,1,0,0,25
1,1,00:06:58,"Come on, Baby Heimlich, spit it out.","disgust,joy,positive",Neutral,0,Neutral,1,0,0,0
1,1,00:07:03,"Peter, I'm appalled.",Neutral,Negative,-2,Negative,1,0,0,0
1,1,00:07:04,Your negligence has damaged this company's reputation.,negative,Neutral,0,Negative,1,0,0,0
1,1,00:07:07,You're fired!,Neutral,Negative,-6,Neutral,1,0,0,0
1,1,00:07:08,Jeez. For how long?,anticipation,Neutral,0,Neutral,1,0,0,0
1,1,00:07:12,My God! You got fired?,"anticipation,fear,joy,positive,trust",Negative,-1,Neutral,1,0,0,0
1,1,00:07:13,"Way to go, Dad! Fight the machine!","anger,fear,negative,trust",Negative,-1,Neutral,1,0,0,0
1,1,00:07:13,How do you know about the machine?,trust,Neutral,0,Neutral,1,0,0,0
1,1,00:07:17,Don't worry. I'll still put food on this table.,"anger,anticipation,disgust,fear,joy,negative,positive,sadness,trust",Negative,-3,Negative,1,0,0,11.11
1,1,00:07:20,Just not as much. So it might get a little competitive.,Neutral,Positive,2,Positive,1,0,0,0
1,1,00:07:23,Who cares about food? Now we'll never be able to afford my lip injections!,"joy,positive,trust",Positive,2,Positive,1,0,0,0
1,1,00:07:27,Can we put her out in the yard for a while?,Neutral,Neutral,0,Neutral,1,0,0,9.09
